hs4,simple_average,year_x,Reporter_ISO_N,ReporterName_x,trade_value_total,year_y,ReporterCode,ReporterName_y
2607,0.58,2023,840,United States,179467948.0,2024,842,"USA,PR,USVI"
2611,2.58,2023,840,United States,96829340.0,2024,842,"USA,PR,USVI"
2613,1.5299999999999998,2023,840,United States,1225732162.0,2024,842,"USA,PR,USVI"
2616,0.395,2023,840,United States,10116128.0,2024,842,"USA,PR,USVI"
2620,29.54,2023,840,United States,754321828.0,2024,842,"USA,PR,USVI"
2707,8.76,2023,840,United States,2228806722.0,2024,842,"USA,PR,USVI"
2709,1.7650000000000001,2023,840,United States,348847247796.0,2024,842,"USA,PR,USVI"
2710,7.9196,2023,840,United States,117438016522.0,2024,842,"USA,PR,USVI"
2905,0.41,2023,840,United States,3687520504.0,2024,842,"USA,PR,USVI"
3006,5.8149999999999995,2023,840,United States,7964220552.0,2024,842,"USA,PR,USVI"
3302,2.49,2023,840,United States,9063789782.0,2024,842,"USA,PR,USVI"
3501,0.025,2023,840,United States,1084568070.0,2024,842,"USA,PR,USVI"
3502,4.615,2023,840,United States,415355362.0,2024,842,"USA,PR,USVI"
3503,3.33,2023,840,United States,641828904.0,2024,842,"USA,PR,USVI"
3505,2.545,2023,840,United States,768288538.0,2024,842,"USA,PR,USVI"
3809,4.97,2023,840,United States,413976938.0,2024,842,"USA,PR,USVI"
3823,4.845000000000001,2023,840,United States,1813172658.0,2024,842,"USA,PR,USVI"
4011,0.47,2023,840,United States,39927492998.0,2024,842,"USA,PR,USVI"
4012,1.51,2023,840,United States,985862880.0,2024,842,"USA,PR,USVI"
4014,39.97666666666667,2023,840,United States,168208058.0,2024,842,"USA,PR,USVI"
4015,14.195,2023,840,United States,5542728432.0,2024,842,"USA,PR,USVI"
4202,5.07,2023,840,United States,24212118934.0,2024,842,"USA,PR,USVI"
4411,3.8925,2023,840,United States,2824695336.0,2024,842,"USA,PR,USVI"
4421,2.795,2023,840,United States,3717347286.0,2024,842,"USA,PR,USVI"
5101,7.6274999999999995,2023,840,United States,22301332.0,2024,842,"USA,PR,USVI"
5102,2.1025,2023,840,United States,24893414.0,2024,842,"USA,PR,USVI"
5103,1.0150000000000001,2023,840,United States,2253302.0,2024,842,"USA,PR,USVI"
5105,4.798,2023,840,United States,7914248.0,2024,842,"USA,PR,USVI"
5201,6.148888888888889,2023,840,United States,4584376.0,2024,842,"USA,PR,USVI"
5202,5.09,2023,840,United States,36206926.0,2024,842,"USA,PR,USVI"
5203,13.41,2023,840,United States,2688864.0,2024,842,"USA,PR,USVI"
5301,0.04,2023,840,United States,21248752.0,2024,842,"USA,PR,USVI"
5407,17.092857142857145,2023,840,United States,1504447346.0,2024,842,"USA,PR,USVI"
5408,11.77,2023,840,United States,39152678.0,2024,842,"USA,PR,USVI"
5602,14.299999999999999,2023,840,United States,237082648.0,2024,842,"USA,PR,USVI"
5607,10.32,2023,840,United States,641431340.0,2024,842,"USA,PR,USVI"
6101,14.584999999999999,2023,840,United States,1710058892.0,2024,842,"USA,PR,USVI"
6102,19.439999999999998,2023,840,United States,1722289842.0,2024,842,"USA,PR,USVI"
6103,14.153333333333334,2023,840,United States,4665160976.0,2024,842,"USA,PR,USVI"
6104,17.915,2023,840,United States,11149107678.0,2024,842,"USA,PR,USVI"
6116,8.506666666666668,2023,840,United States,2253362882.0,2024,842,"USA,PR,USVI"
6201,20.169999999999998,2023,840,United States,4082682364.0,2024,842,"USA,PR,USVI"
6202,18.881666666666668,2023,840,United States,3937989950.0,2024,842,"USA,PR,USVI"
6203,19.065714285714286,2023,840,United States,16334267182.0,2024,842,"USA,PR,USVI"
6204,23.625,2023,840,United States,20865789774.0,2024,842,"USA,PR,USVI"
6205,24.215,2023,840,United States,5582192510.0,2024,842,"USA,PR,USVI"
6206,15.95,2023,840,United States,3686447282.0,2024,842,"USA,PR,USVI"
6209,15.3,2023,840,United States,661693736.0,2024,842,"USA,PR,USVI"
6215,13.57,2023,840,United States,189605576.0,2024,842,"USA,PR,USVI"
6216,9.8625,2023,840,United States,582544388.0,2024,842,"USA,PR,USVI"
6310,12.0,2023,840,United States,259397584.0,2024,842,"USA,PR,USVI"
6402,34.926,2023,840,United States,13330974658.0,2024,842,"USA,PR,USVI"
6404,34.335,2023,840,United States,16273789132.0,2024,842,"USA,PR,USVI"
6501,10.99,2023,840,United States,104713378.0,2024,842,"USA,PR,USVI"
6505,8.158,2023,840,United States,4427023154.0,2024,842,"USA,PR,USVI"
6804,2.8,2023,840,United States,1147085014.0,2024,842,"USA,PR,USVI"
7004,0.935,2023,840,United States,155018662.0,2024,842,"USA,PR,USVI"
7005,2.3225,2023,840,United States,362379304.0,2024,842,"USA,PR,USVI"
7011,0.96,2023,840,United States,15113592.0,2024,842,"USA,PR,USVI"
7019,1.45,2023,840,United States,3404900672.0,2024,842,"USA,PR,USVI"
7020,1.7433333333333334,2023,840,United States,585794824.0,2024,842,"USA,PR,USVI"
7102,1.888,2023,840,United States,30724436782.0,2024,842,"USA,PR,USVI"
7108,4.235,2023,840,United States,31899420918.0,2024,842,"USA,PR,USVI"
7112,4.2275,2023,840,United States,3930173300.0,2024,842,"USA,PR,USVI"
7115,10.465,2023,840,United States,42465583598.0,2024,842,"USA,PR,USVI"
7903,0.145,2023,840,United States,149546286.0,2024,842,"USA,PR,USVI"
8101,0.165,2023,840,United States,434913322.0,2024,842,"USA,PR,USVI"
8102,1.1733333333333336,2023,840,United States,390475792.0,2024,842,"USA,PR,USVI"
8104,4.98,2023,840,United States,725935024.0,2024,842,"USA,PR,USVI"
8205,4.42,2023,840,United States,3035919870.0,2024,842,"USA,PR,USVI"
8211,6.421000000000001,2023,840,United States,1624281934.0,2024,842,"USA,PR,USVI"
8308,3.01,2023,840,United States,399629204.0,2024,842,"USA,PR,USVI"
8483,5.32,2023,840,United States,22602694044.0,2024,842,"USA,PR,USVI"
9019,0.25,2023,840,United States,13091429558.0,2024,842,"USA,PR,USVI"
9028,2.8899999999999997,2023,840,United States,3849682818.0,2024,842,"USA,PR,USVI"
9029,2.71,2023,840,United States,3280224468.0,2024,842,"USA,PR,USVI"
9101,6.661666666666666,2023,840,United States,4252299138.0,2024,842,"USA,PR,USVI"
9102,35.01541666666667,2023,840,United States,10042019060.0,2024,842,"USA,PR,USVI"
9103,14.046666666666667,2023,840,United States,8903738.0,2024,842,"USA,PR,USVI"
9104,7.368333333333332,2023,840,United States,8448514.0,2024,842,"USA,PR,USVI"
9105,13.013846153846155,2023,840,United States,307226188.0,2024,842,"USA,PR,USVI"
9108,10.962857142857144,2023,840,United States,59496658.0,2024,842,"USA,PR,USVI"
9109,56.48333333333333,2023,840,United States,9812372.0,2024,842,"USA,PR,USVI"
9111,7.775,2023,840,United States,52870624.0,2024,842,"USA,PR,USVI"
9302,3.05,2023,840,United States,1625369124.0,2024,842,"USA,PR,USVI"
9507,1.98,2023,840,United States,1812769534.0,2024,842,"USA,PR,USVI"
9603,8.6375,2023,840,United States,4128185098.0,2024,842,"USA,PR,USVI"
9608,8.656666666666666,2023,840,United States,2274234590.0,2024,842,"USA,PR,USVI"
9609,5.82,2023,840,United States,664833176.0,2024,842,"USA,PR,USVI"
9615,4.6425,2023,840,United States,878948288.0,2024,842,"USA,PR,USVI"
