hs4,simple_average,year_x,Reporter_ISO_N,ReporterName_x,trade_value_total,year_y,ReporterCode,ReporterName_y,partner_name,partner_iso,tariff_revenue_estimate,trade_value_formatted,tariff_rate_formatted,tariff_revenue_formatted,category,category_code
1008,0.3333333333333333,2023,840,United States,117354.0,2024,842,"USA,PR,USVI",Ghana,GHA,391.17999999999995,$117.4K,0.33%,$391,Cereals,10
1008,0.3333333333333333,2023,840,United States,10928.0,2024,842,"USA,PR,USVI",Guinea,GIN,36.42666666666666,$10.9K,0.33%,$36,Cereals,10
1008,0.3333333333333333,2023,840,United States,14505.0,2024,842,"USA,PR,USVI",Haiti,HTI,48.349999999999994,$14.5K,0.33%,$48,Cereals,10
1008,0.3333333333333333,2023,840,United States,66141.0,2024,842,"USA,PR,USVI",Israel,ISR,220.47,$66.1K,0.33%,$220,Cereals,10
1008,0.3333333333333333,2023,840,United States,322028.0,2024,842,"USA,PR,USVI",Italy,ITA,1073.4266666666665,$322.0K,0.33%,$1.1K,Cereals,10
1008,0.3333333333333333,2023,840,United States,2401.0,2024,842,"USA,PR,USVI",Jamaica,JAM,8.003333333333332,$2.4K,0.33%,$8,Cereals,10
1008,0.3333333333333333,2023,840,United States,11356.0,2024,842,"USA,PR,USVI",Japan,JPN,37.85333333333333,$11.4K,0.33%,$38,Cereals,10
1008,0.3333333333333333,2023,840,United States,11549.0,2024,842,"USA,PR,USVI",Kazakhstan,KAZ,38.49666666666666,$11.5K,0.33%,$38,Cereals,10
1008,0.3333333333333333,2023,840,United States,5622.0,2024,842,"USA,PR,USVI",Jordan,JOR,18.74,$5.6K,0.33%,$19,Cereals,10
1008,0.3333333333333333,2023,840,United States,319347.0,2024,842,"USA,PR,USVI",Kenya,KEN,1064.49,$319.3K,0.33%,$1.1K,Cereals,10
1008,0.3333333333333333,2023,840,United States,195313.0,2024,842,"USA,PR,USVI",Korea Rep.,KOR,651.0433333333333,$195.3K,0.33%,$651,Cereals,10
1008,0.3333333333333333,2023,840,United States,148703.0,2024,842,"USA,PR,USVI",Lithuania,LTU,495.6766666666666,$148.7K,0.33%,$496,Cereals,10
1008,0.3333333333333333,2023,840,United States,8562.0,2024,842,"USA,PR,USVI",Mali,MLI,28.54,$8.6K,0.33%,$29,Cereals,10
1008,0.3333333333333333,2023,840,United States,141363.0,2024,842,"USA,PR,USVI",Mexico,MEX,471.21,$141.4K,0.33%,$471,Cereals,10
1008,0.3333333333333333,2023,840,United States,84697.0,2024,842,"USA,PR,USVI",Asia Othr.ns,OAS,282.3233333333333,$84.7K,0.33%,$282,Cereals,10
1008,0.3333333333333333,2023,840,United States,57634.0,2024,842,"USA,PR,USVI",Rep.Moldova,MDA,192.11333333333332,$57.6K,0.33%,$192,Cereals,10
1008,0.3333333333333333,2023,840,United States,24772.0,2024,842,"USA,PR,USVI",Nepal,NPL,82.57333333333332,$24.8K,0.33%,$83,Cereals,10
1008,0.3333333333333333,2023,840,United States,176572.0,2024,842,"USA,PR,USVI",Netherlands,NLD,588.5733333333333,$176.6K,0.33%,$589,Cereals,10
1008,0.3333333333333333,2023,840,United States,372840.0,2024,842,"USA,PR,USVI",New Zealand,NZL,1242.8,$372.8K,0.33%,$1.2K,Cereals,10
1008,0.3333333333333333,2023,840,United States,8129.0,2024,842,"USA,PR,USVI",Nigeria,NGA,27.096666666666664,$8.1K,0.33%,$27,Cereals,10
1008,0.3333333333333333,2023,840,United States,70774469.0,2024,842,"USA,PR,USVI",Peru,PER,235914.89666666664,$70.8M,0.33%,$235.9K,Cereals,10
1008,0.3333333333333333,2023,840,United States,275819.0,2024,842,"USA,PR,USVI",Poland,POL,919.3966666666666,$275.8K,0.33%,$919,Cereals,10
1008,0.3333333333333333,2023,840,United States,2709214.0,2024,842,"USA,PR,USVI",Russian Fed,RUS,9030.713333333333,$2.7M,0.33%,$9.0K,Cereals,10
1008,0.3333333333333333,2023,840,United States,259685.99999999997,2024,842,"USA,PR,USVI",Senegal,SEN,865.6199999999999,$259.7K,0.33%,$866,Cereals,10
1008,0.3333333333333333,2023,840,United States,4550031.0,2024,842,"USA,PR,USVI",India,IND,15166.769999999999,$4.6M,0.33%,$15.2K,Cereals,10
1008,0.3333333333333333,2023,840,United States,25426.0,2024,842,"USA,PR,USVI",Viet Nam,VNM,84.75333333333333,$25.4K,0.33%,$85,Cereals,10
1008,0.3333333333333333,2023,840,United States,2113828.0,2024,842,"USA,PR,USVI",South Africa,ZAF,7046.093333333333,$2.1M,0.33%,$7.0K,Cereals,10
1008,0.3333333333333333,2023,840,United States,1113232.0,2024,842,"USA,PR,USVI",Spain,ESP,3710.773333333333,$1.1M,0.33%,$3.7K,Cereals,10
1008,0.3333333333333333,2023,840,United States,2216.0,2024,842,"USA,PR,USVI",Thailand,THA,7.386666666666666,$2.2K,0.33%,$7,Cereals,10
1008,0.3333333333333333,2023,840,United States,42677.0,2024,842,"USA,PR,USVI",Turkey,TUR,142.25666666666666,$42.7K,0.33%,$142,Cereals,10
1008,0.3333333333333333,2023,840,United States,4455.0,2024,842,"USA,PR,USVI",Uganda,UGA,14.85,$4.5K,0.33%,$15,Cereals,10
1008,0.3333333333333333,2023,840,United States,163791.0,2024,842,"USA,PR,USVI",Ukraine,UKR,545.9699999999999,$163.8K,0.33%,$546,Cereals,10
1101,1.08,2023,840,United States,326150712.0,2024,842,"USA,PR,USVI",World,WLD,3522427.6896,$326.2M,1.08%,$3.5M,Products of the milling industry,11
1101,1.08,2023,840,United States,14189.0,2024,842,"USA,PR,USVI",Albania,ALB,153.24120000000002,$14.2K,1.08%,$153,Products of the milling industry,11
1101,1.08,2023,840,United States,3500.0,2024,842,"USA,PR,USVI",Algeria,DZA,37.800000000000004,$3.5K,1.08%,$38,Products of the milling industry,11
1101,1.08,2023,840,United States,95779.0,2024,842,"USA,PR,USVI",Argentina,ARG,1034.4132,$95.8K,1.08%,$1.0K,Products of the milling industry,11
1101,1.08,2023,840,United States,202298.0,2024,842,"USA,PR,USVI",Bangladesh,BGD,2184.8184,$202.3K,1.08%,$2.2K,Products of the milling industry,11
1101,1.08,2023,840,United States,41482.0,2024,842,"USA,PR,USVI",Armenia,ARM,448.0056,$41.5K,1.08%,$448,Products of the milling industry,11
1101,1.08,2023,840,United States,164755.0,2024,842,"USA,PR,USVI",Bosnia Herzg,BIH,1779.354,$164.8K,1.08%,$1.8K,Products of the milling industry,11
1101,1.08,2023,840,United States,150391.0,2024,842,"USA,PR,USVI",Brazil,BRA,1624.2228,$150.4K,1.08%,$1.6K,Products of the milling industry,11
1101,1.08,2023,840,United States,149911.0,2024,842,"USA,PR,USVI",Bulgaria,BGR,1619.0388,$149.9K,1.08%,$1.6K,Products of the milling industry,11
1101,1.08,2023,840,United States,179193676.0,2024,842,"USA,PR,USVI",Canada,CAN,1935291.7008,$179.2M,1.08%,$1.9M,Products of the milling industry,11
1101,1.08,2023,840,United States,4898.0,2024,842,"USA,PR,USVI",Sri Lanka,LKA,52.8984,$4.9K,1.08%,$53,Products of the milling industry,11
1101,1.08,2023,840,United States,7269.0,2024,842,"USA,PR,USVI",Chile,CHL,78.5052,$7.3K,1.08%,$79,Products of the milling industry,11
1101,1.08,2023,840,United States,704810.0,2024,842,"USA,PR,USVI",China,CHN,7611.948,$704.8K,1.08%,$7.6K,Products of the milling industry,11
1101,1.08,2023,840,United States,227352.0,2024,842,"USA,PR,USVI",Colombia,COL,2455.4016,$227.4K,1.08%,$2.5K,Products of the milling industry,11
1101,1.08,2023,840,United States,2450.0,2024,842,"USA,PR,USVI",Croatia,HRV,26.46,$2.5K,1.08%,$26,Products of the milling industry,11
1101,1.08,2023,840,United States,8938.0,2024,842,"USA,PR,USVI",Czech Rep,CZE,96.5304,$8.9K,1.08%,$97,Products of the milling industry,11
1101,1.08,2023,840,United States,110987.0,2024,842,"USA,PR,USVI",Dominican Rp,DOM,1198.6596,$111.0K,1.08%,$1.2K,Products of the milling industry,11
1101,1.08,2023,840,United States,426325.0,2024,842,"USA,PR,USVI",Ecuador,ECU,4604.31,$426.3K,1.08%,$4.6K,Products of the milling industry,11
1101,1.08,2023,840,United States,179797.0,2024,842,"USA,PR,USVI",Fiji,FJI,1941.8076,$179.8K,1.08%,$1.9K,Products of the milling industry,11
1101,1.08,2023,840,United States,1675776.0,2024,842,"USA,PR,USVI",France+Monac,FRA,18098.380800000003,$1.7M,1.08%,$18.1K,Products of the milling industry,11
1101,1.08,2023,840,United States,69098.0,2024,842,"USA,PR,USVI",Germany,DEU,746.2584,$69.1K,1.08%,$746,Products of the milling industry,11
1101,1.08,2023,840,United States,89048.0,2024,842,"USA,PR,USVI",Greece,GRC,961.7184000000001,$89.0K,1.08%,$962,Products of the milling industry,11
1101,1.08,2023,840,United States,67209.0,2024,842,"USA,PR,USVI",Guatemala,GTM,725.8572,$67.2K,1.08%,$726,Products of the milling industry,11
1101,1.08,2023,840,United States,20712.0,2024,842,"USA,PR,USVI",Guyana,GUY,223.6896,$20.7K,1.08%,$224,Products of the milling industry,11
1101,1.08,2023,840,United States,933118.0,2024,842,"USA,PR,USVI",Honduras,HND,10077.6744,$933.1K,1.08%,$10.1K,Products of the milling industry,11
1101,1.08,2023,840,United States,688982.0,2024,842,"USA,PR,USVI",Hong Kong,HKG,7441.0056,$689.0K,1.08%,$7.4K,Products of the milling industry,11
1101,1.08,2023,840,United States,26062.0,2024,842,"USA,PR,USVI",Iraq,IRQ,281.4696,$26.1K,1.08%,$281,Products of the milling industry,11
1101,1.08,2023,840,United States,22149.0,2024,842,"USA,PR,USVI",Ireland,IRL,239.2092,$22.1K,1.08%,$239,Products of the milling industry,11
1101,1.08,2023,840,United States,1878071.0,2024,842,"USA,PR,USVI",Israel,ISR,20283.166800000003,$1.9M,1.08%,$20.3K,Products of the milling industry,11
